銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
6345,プ,アイチコーポレーション,1663,1393,16%割安,+
6346,ス,キクカワエンタープライズ,8266,6370,23%割安,+
6347,ス,プラコー,173,289,67%割高,-
6349,ス,小森コーポレーション,2158,1512,30%割安,+
6351,プ,鶴見製作所,2687,2173,19%割安,+
6356,ス,日本ギア工業,1044,1586,52%割高,-
6357,ス,三精テクノロジーズ,3277,2127,34%割安,+
6358,プ,酒井重工業,3147,2033,35%割安,+
6360,ス,東京自動機械製作所,5871,4060,31%割安,+
6361,プ,荏原,3262,5327,63%割高,-
6363,プ,西島製作所,2880,3220,12%割高,-
6364,プ,AIRMAN,2926,2040,30%割安,+
6365,ス,電業社機械製作所,8439,5580,34%割安,+
6366,ス,千代田化工建設,120,1011,743%割高,-
6367,プ,ダイキン工業,17044,21965,29%割高,-
6368,プ,オルガノ,9541,15780,65%割高,-
6369,プ,トーヨーカネツ,2902,2734,6%割安,+
6370,プ,栗田工業,5156,8429,63%割高,-
6371,プ,椿本チェイン,2713,2349,13%割安,+
6376,プ,日機装,2566,2658,4%割高,-
6378,ス,木村化工機,1135,1285,13%割高,-
6379,プ,レイズネクスト,2593,2261,13%割安,+
6380,ス,オリエンタルチェーン工業,1158,4070,251%割高,-
6381,プ,アネスト岩田,2168,1583,27%割安,+
6382,ス,トリニティ工業,1895,1304,31%割安,+
6383,プ,ダイフク,3245,6780,109%割高,-
6384,ス,昭和真空,1921,1725,10%割安,+
6387,プ,サムコ,4337,11560,167%割高,-
6390,プ,加藤製作所,,1415,,-
6391,ス,加地テク,6714,5050,25%割安,+
6392,ス,ヤマダコーポレーション,9715,6800,30%割安,+
6393,ス,油研工業,7512,2991,60%割安,+
6395,プ,タダノ,1827,1374,25%割安,+
6396,ス,宇野沢組鉄工所,4653,3740,20%割安,+
6400,ス,不二精機,511,279,45%割安,+
6402,ス,兼松エンジニアリング,2758,1775,36%割安,+
6405,ス,鈴茂器工,1468,1071,27%割安,+
6407,プ,CKD,4176,6040,45%割高,-
6277,プ,ホリカワミクロン,5967,5920,1%割安,+
6278,プ,ユニオンツール,7860,16650,112%割高,-
6279,プ,瑞光,1076,878,18%割安,+
6282,プ,オイレス工業,2882,2591,10%割安,+
6284,プ,日精エー・エス・ビー機械,8603,8120,6%割安,+
6286,ス,静甲,2492,1556,38%割安,+
6287,プ,サトー,3620,2081,43%割安,+
6289,プ,技研製作所,1736,1803,4%割高,-
6291,ス,日本エアーテック,1395,1221,13%割安,+
6292,ス,カワタ,1727,813,53%割安,+
6294,プ,オカダアイヨン,3131,2199,30%割安,+
6298,プ,ワイエイシイHD,985,1163,18%割高,-
6301,プ,コマツ,6759,6557,3%割安,+
6302,プ,住友重機械工業,5534,5269,5%割安,+
6305,プ,日立建機,6362,5472,14%割安,+
6306,プ,日工,949,800,16%割安,+
6307,ス,サンセイ,1075,519,52%割安,+
6309,プ,巴工業,2391,1766,26%割安,+
6310,プ,井関農機,1729,1687,2%割安,+
6315,プ,TOWA,1807,2920,63%割高,-
6316,ス,丸山製作所,4979,2340,53%割安,+
6317,ス,北川鉄工所,4047,1546,62%割安,+
6322,ス,タクミナ,2685,1562,42%割安,+
6323,プ,ローツェ,3187,3670,15%割高,-
6324,プ,ハーモニック・ドライブ・システムズ,956,5220,446%割高,-
6325,ス,タカキタ,680,406,40%割安,+
6326,プ,クボタ,2970,2553,16%割安,+
6327,ス,北川精機,1101,2867,161%割高,-
6328,プ,荏原実業,2864,2383,17%割安,+
6330,プ,東洋エンジニアリング,1244,2266,82%割高,-
6331,プ,三菱化工機,4098,3180,22%割安,+
6332,プ,月島HD,3486,3125,10%割安,+
6333,プ,TEIKOKU,3181,2763,13%割安,+
6334,ス,芝明機械,284,400,41%割高,-
6335,ス,東洋機械製作所,825,469,43%割安,+
6336,ス,石井表記,1510,1172,22%割安,+
6337,ス,テセック,2632,2822,7%割高,-
6338,ス,タカトリ,1748,1673,4%割安,+
6339,ス,新東工業,1907,985,48%割安,+
6340,ス,渋谷工業,4958,3410,31%割安,+
6626,ス,SEMITEC,4144,2412,42%割安,+
6627,ス,テラプローブ,13078,10190,22%割安,+
6629,ス,テクノホライゾン,767,1180,54%割高,-
6630,プ,ヤーマン,418,710,70%割高,-
6632,プ,JVCケンウッド,1576,1183,25%割安,+
6633,ス,CGSHD,604,323,46%割安,+
6634,ス,JNG,,98,,-
6635,ス,大日光エンジニアリング,1269,640,50%割安,+
6637,ス,寺崎電気産業,5889,4020,32%割安,+
6638,プ,ミマキエンジニアリング,3110,1495,53%割安,+
6643,ス,戸上電機製作所,7544,6340,16%割安,+
6644,プ,大崎電気工業,2083,2036,1%割安,+
6645,プ,オムロン,4441,5573,25%割高,-
6647,ス,森尾電機,3827,2900,24%割安,+
6648,ス,かわでん,2201,2235,2%割高,-
6651,プ,日東工業,4368,4525,4%割高,-
6652,プ,IDEC,2745,3355,24%割高,-
6653,プ,正興電機製作所,2207,2520,14%割高,-
6654,ス,不二電機工業,1561,1085,30%割安,+
6656,ス,インスペック,,723,,-
6658,ス,シライ電子工業,812,681,16%割安,+
6662,ス,ユビテック,106,224,112%割高,-
6663,ス,太洋テクノレックス,335,303,9%割安,+
6666,ス,リバー・エレテック,257,1031,302%割高,-
6668,ス,アドテックプラズマテクノロジー,1613,2672,66%割高,-
6674,プ,ジーエス・ユアサコーポレーション,6044,6317,5%割高,-
6675,ス,サクサ,2506,2160,14%割安,+
6676,ス,バッファロー,2383,2450,3%割高,-
6677,ス,エスケーエレクトロニクス,4953,3350,32%割安,+
6678,ス,テクノメディカ,2711,2204,19%割安,+
6694,ス,ズーム,1533,640,58%割安,+
6696,ス,トラース・オン・プロダクト,,356,,-
6699,ス,ダイヤモンドエレクトリックHD,,528,,-
6701,プ,NEC,2861,4101,43%割高,-
6702,プ,富士通,2085,3180,53%割高,-
6703,プ,OKI,1790,3345,87%割高,-
6706,プ,電気興業,2780,3315,19%割高,-
6707,ス,サンケン電気,1485,9350,530%割高,-
6718,プ,アイホン,3509,2789,21%割安,+
6723,プ,ルネサスエレクトロニクス,1741,3212,84%割高,-
6547,ス,グリーンズ,2710,2309,15%割安,+
6548,グ,施工房,,130,,-
6549,ス,ディーエムソリューションズ,2363,1680,27%割安,+
6551,ス,ツナグG-HD,918,658,28%割安,+
6552,ス,GameWith,119,206,74%割高,-
6554,グ,エスユーエス,1899,1012,46%割安,+
6555,ス,MS&Consulting,595,443,26%割安,+
6557,グ,AIAIG,469,1160,151%割高,-
6558,グ,クックビズ,373,675,86%割高,-
6560,プ,エル・ティー・エス,3244,1244,62%割安,+
6561,グ,HANATOUR JAPAN,605,789,31%割高,-
6562,グ,ジーニー,478,967,103%割高,-
6563,グ,みらいワークス,378,579,53%割高,-
6564,プ,ミダックHD,2088,2120,2%割高,-
6566,ス,業興業,1679,1500,11%割安,+
6568,グ,神戸天然物化学,1704,1281,25%割安,+
6570,ス,共和コーポレーション,1718,1228,28%割安,+
6571,プ,キュービネットHD,1566,1357,11%割安,+
6572,プ,オープンG,240,218,9%割安,+
6574,グ,コンファノ,20,99,388%割高,-
6577,ス,ベストワンドットコム,958,1962,134%割高,-
6578,ス,コレックHD,253,440,75%割高,-
6579,グ,ログリー,,316,,-
6580,グ,ライトアップ,1507,1153,23%割安,+
6581,ス,三桜工業,1387,742,47%割安,+
6586,プ,マキタ,4954,5868,18%割高,-
6588,プ,東芝テック,2590,2695,4%割高,-
6590,プ,芝浦メカトロニクス,3903,4780,22%割高,-
6592,プ,マブチモーター,1541,1474.5,4%割安,+
6594,プ,ニデック,1860,2397,29%割高,-
6597,グ,HPCシステムズ,1418,2575,83%割高,-
6599,ス,エブレン,3972,3360,15%割安,+
6613,グ,QDレーザ,,1419,,-
6614,ス,シキハイテック,375,782,109%割高,-
6616,プ,トレックスセミコンダクター,768,1973,157%割高,-
6617,ス,東光高岳,6109,7550,24%割高,-
6619,グ,ダブル・スコープ,,228,,-
6620,プ,宮崎HD,1106,609,45%割安,+
6622,プ,ダイヘン,10767,15380,43%割高,-
6625,ス,JALCOHD,285,378,33%割高,-
6485,ス,前沢給装工業,2021,1493,24%割安,+
6486,プ,イーグル工業,3526,2813,20%割安,+
6488,ス,ヨシタケ,1597,943,41%割安,+
6489,ス,前沢工業,2751,1810,34%割安,+
6490,プ,PILLAR,7137,9120,28%割高,-
6492,ス,岡野バルブ製造,9287,17970,93%割高,-
6493,ス,NITTAN,1437,599,58%割安,+
6494,ス,NFKHD,104,117,13%割高,-
6495,ス,宮入バルブ製作所,,181,,-
6496,ス,中北製作所,6939,5780,17%割安,+
6497,ス,ハマイ,2579,1337,48%割安,+
6498,プ,キッツ,2117,2094,1%割安,+
6501,プ,日立製作所,3047,4882,60%割高,-
6503,プ,三菱電機,3568,6231,75%割高,-
6504,プ,富士電機,9965,13085,31%割高,-
6505,ス,東洋電機製造,3157,2491,21%割安,+
6506,プ,安川電機,2607,5520,112%割高,-
6507,プ,シンフォニアテクノロジー,6820,14250,109%割高,-
6508,プ,明電舎,6211,8460,34%割高,-
6513,ス,オリジン,,1065,,-
6516,プ,山洋電気,4349,6920,59%割高,-
6517,プ,デンヨー,4723,5600,19%割高,-
6518,ス,三相電機,2370,1319,44%割安,+
6521,グ,オキサイド,437,4595,951%割高,-
6522,グ,アスタリスク,210,1141,456%割高,-
6523,プ,PHCHD,1172,994,15%割安,+
6524,ス,湖北工業,2384,5460,129%割高,-
6525,プ,KOKUSAI ELECTRIC,1759,6378,264%割高,-
6526,プ,ソシオネクスト,1458,1859,29%割高,-
6532,プ,ベイカレント,7412,5060,32%割安,+
6533,プ,Orchestra HD,1392,1023,26%割安,+
6535,プ,アイモバイル,878,524,40%割安,+
6537,グ,WASHハウス,269,360,34%割高,-
6538,ス,ディスラプターズ,152,233,53%割高,-
6539,プ,MS-Japan,952,945,1%割安,+
6540,ス,船場,2588,1656,36%割安,+
6543,ス,日宣,1376,1175,15%割安,+
6544,プ,ジャパンエレベーターサービスHD,996,1594,60%割高,-
6545,グ,インターネットインフィニティー,792,724,9%割安,+
6546,ス,フルテック,1325,1161,12%割安,+
6877,ス,OBARA GROUP,7215,5540,23%割安,+
6882,ス,三社電機製作所,1856,1038,44%割安,+
6888,ス,アクモス,649,531,18%割安,+
6890,ス,フェローテック,8116,7530,7%割高,-
6894,ス,バルスデック工業,3198,2120,34%割安,+
6897,ス,ツインバード,52,400,677%割高,-
6898,ス,トミタ電機,2152,3785,76%割高,-
6899,ス,ASTI,6314,2371,62%割安,+
6902,プ,デンソー,2680,1882.5,30%割安,+
6904,ス,康田工業,53,462,777%割高,-
6905,プ,コーセル,1238,1270,3%割高,-
6907,ス,ジオマテック,1008,966,4%割安,+
6908,プ,イリソ電子工業,3677,3370,8%割安,+
6912,ス,菊水HD,2735,2316,15%割安,+
6914,プ,オプテックスG,3089,2924,5%割安,+
6915,ス,千代田インテグレ,4709,3010,36%割安,+
6918,ス,アバールデータ,3217,2933,9%割安,+
6919,ス,ケル,1699,1420,16%割安,+
6920,プ,レーザーテック,8759,42690,388%割高,-
6923,プ,スタンレー電気,5024,3053,39%割安,+
6925,プ,ウシオ電機,2495,3160,27%割高,-
6926,ス,岡谷電機産業,,193,,-
6927,ス,ヘリオステクノホールディング,1297,1177,9%割安,+
6928,ス,エノモト,3157,3285,6%割高,-
6929,プ,日本セラミック,3889,3630,7%割安,+
6932,ス,遠藤照明,4497,2791,38%割安,+
6941,ス,山一電機,8022,10390,30%割高,-
6942,ス,ソフィアHD,664,1280,93%割高,-
6943,ス,NKKスイッチズ,5088,4890,4%割安,+
6944,ス,日本アビオニクス,3867,6430,66%割高,-
6947,プ,図研,4295,4420,3%割高,-
6951,プ,日本電子,6212,6277,1%割高,-
6952,プ,カシオ計算機,1363,1586,16%割高,-
6954,プ,ファナック,3339,6875,106%割高,-
6955,ス,FDK,383,433,13%割高,-
6958,プ,日本CMK,944,627,34%割安,+
6960,ス,フクダ電子,10577,10060,5%割安,+
6961,プ,エンプラス,11035,17110,55%割高,-
6962,プ,大真空,1089,732,33%割安,+
6963,プ,ローム,2081,3398,63%割高,-
6807,プ,日本航空電子工業,2409,2409,0.0%,-
6809,プ,TOA,1844,1730,6%割安,+
6810,プ,マクセル,2988,1995,33%割安,+
6814,プ,古野電気,4727,7170,52%割高,-
6817,ス,スミダコーポレーション,1993,1346,32%割安,+
6819,ス,伊豆シャボテンリゾート,726,473,34%割安,+
6820,プ,アイコム,3844,3025,21%割安,+
6822,ス,大井電気,8025,5430,32%割安,+
6823,プ,リオン,4347,3385,22%割安,+
6824,ス,新コスモス電機,6328,5780,9%割安,+
6832,ス,アオイ電子,2338,2807,20%割高,-
6834,ス,精工技研,9156,28950,216%割高,-
6835,ス,アライドテレシスHD,246,266,8%割高,-
6836,ス,ぶらっとホーム,91,836,823%割高,-
6837,ス,京写,661,291,56%割安,+
6838,ス,多摩川HD,792,1684,116%割高,-
6840,ス,AKIBAHD,821,544,34%割安,+
6841,プ,横河電機,4044,5463,35%割高,-
6844,プ,新電元工業,5902,3295,44%割安,+
6845,プ,アズビル,1086,1394,28%割高,-
6848,ス,東里ティーケーケー,1003,871,13%割安,+
6849,プ,日本光電,1462,1444.5,1%割安,+
6850,プ,チノー,2164,1576,27%割安,+
6853,ス,共和電業,783,755,4%割安,+
6855,ス,日本電子材料,4872,7040,45%割高,-
6856,プ,堀場製作所,15966,21700,37%割高,-
6857,プ,アドバンテスト,12320,28260,129%割高,-
6858,ス,小野測器,1492,817,45%割安,+
6859,プ,エスペック,3954,3325,16%割安,+
6861,プ,キーエンス,68918,71300,3%割高,-
6862,ス,ミナトHD,1499,2841,90%割高,-
6863,ス,ニレコ,3240,2088,35%割安,+
6864,ス,エヌエフHD,1653,1368,17%割安,+
6866,プ,日置電機,6801,11180,64%割高,-
6867,ス,リーダー電子,447,409,9%割安,+
6869,プ,シスメックス,1276,1378,8%割高,-
6870,ス,日本フェンオール,2561,2096,18%割安,+
6871,プ,日本マイクロニクス,8786,12960,47%割高,-
6874,ス,協立電機,4810,2729,43%割安,+
6875,プ,メガチップス,7380,9700,31%割高,-
6724,プ,セイコーエプソン,2645,2096.5,21%割安,+
6727,プ,ワコム,756,717,5%割安,+
6728,プ,アルバック,6794,9762,44%割高,-
6730,ス,アクセル,1424,1154,18%割安,+
6736,ス,サン電子,2958,8670,194%割高,-
6737,プ,EIZO,2771,2065,25%割安,+
6741,プ,日本信号,2093,1677,20%割安,+
6742,ス,京三製作所,953,698,27%割安,+
6743,ス,大同信号,1773,820,54%割安,+
6744,ス,能美防災,3898,4110,5%割高,-
6745,プ,ホーチキ,1978,1926,3%割安,+
6748,ス,星和電機,1712,755,56%割安,+
6750,プ,エレコム,1906,1621,14%割安,+
6752,プ,パナソニックHD,2626,3203,22%割高,-
6753,プ,シャープ,320,559.5,75%割高,-
6754,プ,アンリツ,1502,4039,169%割高,-
6757,ス,OSGコーポレーション,593,847,43%割高,-
6758,プ,ソニーG,2589,3113,21%割高,-
6762,プ,TDK,1684,2890.5,72%割高,-
6763,プ,帝国通信工業,2933,2670,9%割安,+
6768,プ,タムラ製作所,790,837,6%割高,-
6769,ス,ザインエレクトロニクス,599,1188,104%割高,-
6770,プ,アルプスアルパイン,2251,2366.5,5%割高,-
6771,ス,池上通信機,233,786,237%割高,-
6772,ス,東京コスモス電機,1128,1247,11%割高,-
6775,ス,TBG,,122,,-
6776,ス,天昇電気工業,592,279,53%割安,+
6777,ス,santecHD,15512,27940,80%割高,-
6778,ス,アルチザネットワークス,684,640,6%割安,+
6779,プ,日本電波工業,1440,1890,31%割高,-
6785,プ,鈴木,4283,3160,26%割安,+
6787,プ,メイコー,10154,31650,212%割高,-
6788,プ,日本トリム,4915,4265,13%割安,+
6794,プ,フォスター電機,3164,2990,5%割安,+
6797,ス,名古屋電機工業,2178,1233,43%割安,+
6798,プ,SMK,2046,3340,63%割高,-
6800,プ,ヨコオ,3039,4425,46%割高,-
6803,ス,ティアック,152,107,30%割安,+
6804,プ,ホシデン,4746,2772,42%割安,+
6806,プ,ヒロセ電機,18436,21825,18%割高,-
7097,グ,さくらさくプラス,1535,3005,104%割高,-
7102,プ,日本車両製造,5267,3715,29%割安,+
7110,グ,クラシコム,2292,1970,14%割安,+
7111,ス,INEST,560,463,17%割安,+
7112,グ,キューブ,642,809,28%割高,-
7114,グ,フーディソン,575,835,51%割高,-
7115,ス,アルファパーチェス,1741,1599,4%割安,+
7119,グ,ハルメクHD,1234,1509,26%割高,-
7120,ス,SHINKO,1377,886,36%割安,+
7122,ス,近畿車輛,4064,2241,45%割安,+
7126,グ,グローバルスタイル,2107,1552,26%割安,+
7127,ス,一家HD,145,686,392%割高,-
7128,プ,ユニゾンHD,2574,2168,16%割安,+
7129,ス,ミナヘルスHD,1380,1133,18%割安,+
7130,プ,ヤマエGHD,4799,2858,40%割安,+
7131,ス,のむら産業,6778,3820,44%割安,+
7133,グ,HYUGA PRIMARY CARE,1436,1076,22%割安,+
7134,ス,アップガレージG,1777,1050,40%割安,+
7135,ス,ジャパンクラフトHD,87,212,144%割高,-
7138,グ,TORICO,,206,,-
7140,グ,ペットゴー,351,834,175%割高,-
7201,プ,日産自動車,,356,,-
7202,プ,いすゞ自動車,3966,2146,46%割安,+
7203,プ,トヨタ自動車,3136,3023,4%割安,+
7211,プ,三菱自動車工業,794,306.2,61%割安,+
7212,ス,エフテック,2696,744,72%割安,+
7213,ス,レシップHD,683,500,27%割安,+
7214,ス,GMB,5882,952,84%割安,+
7215,ス,ファルテック,1982,374,81%割安,+
7217,ス,テイン,600,421,30%割安,+
7218,ス,田中精密工業,2955,1062,65%割安,+
7219,ス,エッチ・ケー・エス,6527,2259,65%割安,+
7220,プ,武蔵精密工業,2712,4295,58%割高,-
7222,ス,日産車体,1108,902,19%割安,+
7224,プ,新明和工業,2223,2553,15%割高,-
7226,プ,極東開発工業,3673,2699,27%割安,+
7228,ス,デイトナ,7699,3770,51%割安,+
7231,プ,トビー工業,5607,2947,47%割安,+
7235,ス,東京ラヂエーター製造,2251,1423,37%割安,+
7043,グ,アルー,750,943,29%割高,-
7044,ス,ピアラ,134,539,305%割高,-
7046,グ,TDSE,1492,1352,9%割安,+
7047,グ,ポート,4818,2390,49%割安,+
7048,グ,ベルトラ,95,160,22%割高,-
7050,プ,フロンティアインターナショナル,1939,1516,22%割安,+
7057,ス,エヌ・シー・エヌ,1029,928,10%割安,+
7058,ス,共栄セキュリティーサービス,3581,3050,14%割安,+
7059,グ,コプロ-HD,1075,835,22%割安,+
7060,グ,ギークス,343,575,71%割高,-
7061,ス,日本ホスピスHD,1421,741,47%割安,+
7062,グ,フレアス,701,853,24%割高,-
7064,ス,ハウテレビジョン,538,881,64%割高,-
7065,ス,ユービーアール,1219,995,18%割安,+
7066,グ,ピアズ,352,467,33%割高,-
7067,グ,ブランディングテクノロジー,777,913,18%割高,-
7068,グ,フィードフォースG,882,502,42%割安,+
7069,グ,サイバーバズ,281,820,201%割高,-
7071,プ,アンビスHD,360,386,7%割高,-
7072,グ,インティメート・マージャー,949,859,8%割安,+
7073,グ,ジェイック,1969,2172,10%割高,-
7074,グ,トゥエンティーフォーセブンHD,,200,,-
7075,グ,QLSHD,757,773,4%割高,-
7077,グ,ALINKインターネット,787,1000,27%割高,-
7079,グ,WDBコCo,4081,2600,36%割安,+
7080,グ,スポーツフィールド,2342,893,61%割安,+
7081,ス,コーユーレンティア,1757,1299,23%割安,+
7082,グ,ジモティー,735,935,28%割高,-
7083,グ,AHCG,418,713,75%割高,-
7084,グ,Smile HD,1717,2928,72%割高,-
7085,プ,カーブスHD,877,822,6%割安,+
7087,ス,ウィルテック,1803,1310,24%割安,+
7089,グ,フォースタートアップス,1696,1204,29%割安,+
7090,グ,リクア,,926,,-
7091,グ,リビングプラットフォーム,513,1258,147%割高,-
7093,グ,アディッシュ,293,536,90%割高,-
7094,グ,NexTone,1710,1467,14%割安,+
7095,グ,Macbee Planet,2859,1280,55%割安,+
7096,グ,ステムセル研究所,416,746,79%割高,-
6964,ス,サンコー,1315,679,48%割安,+
6965,プ,浜松ホトニクス,1102,2023,84%割高,-
6966,プ,三井ハイテック,611,644,5%割高,-
6969,ス,松尾電機,859,1371,60%割高,-
6971,プ,京セラ,2138,2710.5,27%割高,-
6976,プ,太陽誘電,2604,6392,146%割高,-
6977,プ,日本抵抗器製作所,92,992,981%割高,-
6981,プ,村田製作所,2040,5156,153%割高,-
6982,ス,リード,,592,,-
6986,プ,双葉電子工業,138,691,401%割高,-
6988,プ,日東電工,3202,2997.5,6%割安,+
6989,ス,北陸電気工業,2901,2750,5%割安,+
6993,ス,大黒屋HD,,107,,-
6994,ス,指月電機製作所,1102,1100,0.2%割安,+
6995,プ,東海理化電機製作所,5064,2891,43%割安,+
6996,プ,ニチコン,1804,2421,34%割高,-
6997,プ,日本ケミコン,2268,2660,17%割高,-
6998,プ,日本タングステン,2449,1927,21%割安,+
6999,プ,KOA,1952,1882,4%割安,+
7003,プ,三井E&S,2247,5615,150%割高,-
7004,プ,カナデビア,1096,1194,25%割高,-
7011,プ,三菱重工業,1692,4615,173%割高,-
7012,プ,川崎重工業,1383,3217,147%割高,-
7013,プ,IHI,786,2853,304%割高,-
7014,ス,名村造船所,2014,4050,103%割高,-
7018,ス,内海造船,10891,12050,11%割高,-
7021,ス,ニッチツ,2096,2171,4%割高,-
7022,ス,サノヤスHD,303,310,3%割高,-
7030,ス,スプリックス,1112,1397,27%割高,-
7031,グ,インバウンドテック,520,708,54%割高,-
7033,プ,マネジメントソリューションズ,2396,1322,45%割安,+
7034,プ,プロレド・パートナーズ,1738,392,77%割安,+
7035,ス,and factory,53,219,311%割高,-
7036,グ,イーエムネットジャパン,267,762,187%割高,-
7037,ス,テノ.HD,456,920,102%割高,-
7038,プ,フロンティア・マネジメント,687,589,13%割安,+
7039,グ,ブリッジインターナショナルG,2646,1801,32%割安,+
7040,プ,サン・ライフH,1454,995,32%割安,+
7041,グ,CRGHD,534,305,43%割安,+
7042,ス,アクセスG-HD,675,611,9%割安,+
7438,プ,コンドーテック,2036,1450,29%割安,+
7442,ス,中山福,450,441,2%割安,+
7443,ス,横浜魚類,427,622,46%割高,-
7444,ス,ハリマ共和物産,4529,2000,56%割安,+
7446,ス,東北化学薬品,8597,4375,49%割安,+
7447,プ,ナガイレーベン,1826,1693,7%割安,+
7453,プ,良品計画,1695,3617,113%割高,-
7456,プ,松田産業,10468,6640,37%割安,+
7458,プ,第一商業,1659,1623.5,2%割安,+
7459,プ,メディバルHD,4096,2809,31%割安,+
7460,ス,ヤギ,6241,3805,39%割安,+
7461,ス,キムラ,1203,459,62%割安,+
7462,ス,CAPITA,368,583,58%割高,-
7463,ス,アドヴァンG,1927,958,50%割安,+
7464,ス,セフテック,3616,1620,55%割安,+
7466,プ,SPK,2235,1272,43%割安,+
7472,ス,鳥羽洋行,4727,3810,19%割安,+
7475,プ,アルビス,3871,2476,36%割安,+
7476,プ,アズワン,2207,2165.5,2%割安,+
7477,ス,スムラキ,1859,1808,3%割安,+
7480,ス,スズデン,1810,1710,6%割安,+
7481,ス,尾家産業,2287,2280,0.3%割安,+
7482,プ,シモジマ,1714,1292,25%割安,+
7483,プ,ドウシシャ,4203,3275,20%割安,+
7486,ス,サンリン,1542,740,52%割安,+
7487,ス,小津産業,2020,1885,7%割安,+
7490,ス,日新商事,2413,1261,48%割安,+
7494,ス,コナカ,38,237,531%割高,-
7500,ス,西川計測,8807,9100,3%割高,-
7501,ス,ティムコ,586,2090,257%割高,-
7501,ス,プラザHD,,1701,,-
7504,プ,高速,3109,2930,6%割安,+
7505,ス,扶桑電通,1568,1808,15%割高,-
7506,ス,ハウス オブ ローゼ,1126,1351,20%割高,-
7508,プ,G-7HD,1874,1285,31%割安,+
7509,ス,アイエーG,11199,4575,59%割安,+
7510,プ,たけびし,3244,2210,32%割安,+
7512,ス,イオン北海道,482,847,76%割高,-
7513,プ,コジマ,1213,1206,0.5%割安,+
7514,ス,ヒマラヤ,1104,850,23%割安,+
7314,ス,小田原機器,1204,1188,1%割安,+
7318,グ,セレンディップ-HD,1594,1912,20%割高,-
7351,グ,グッドパッチ,614,450,26%割安,+
7352,グ,TWOSTONE& Sons,337,420,38%割高,-
7353,グ,KIYOラーニング,316,567,80%割高,-
7354,ス,ダイレクトマーケティングミックス,463,300,34%割安,+
7356,グ,Retty,24,146,521%割高,-
7357,ス,ジオコード,456,1520,233%割高,-
7358,ス,ポピンズ,1713,1414,17%割安,+
7359,グ,東京通信G,84,240,196%割高,-
7360,グ,オンデック,461,751,69%割高,-
7361,グ,ヒューマンクリエイションHD,2969,1207,59%割安,+
7362,グ,T.S.I,860,838,2%割安,+
7366,プ,LITALICO,1040,1202,16%割高,-
7367,ス,セルム,481,322,33%割安,+
7368,ス,表示灯,2304,1696,26%割安,+
7369,グ,メイホーHD,597,485,17%割安,+
7371,グ,Zenken,847,675,17%割安,+
7372,グ,デコルテ-HD,951,351,63%割安,+
7373,グ,アイドマHD,3919,1247,68%割安,+
7374,グ,コンフィデンス・インターワークス,4473,1698,64%割安,+
7375,グ,リファインバースG,,2121,,-
7376,グ,BCC,,1042,,-
7377,ス,DNHD,2072,1890,9%割安,+
7378,グ,アシロ,1699,1946,15%割高,-
7399,ス,ナンシン,1384,576,59%割安,+
7409,グ,AeroEdge,686,4395,572%割高,-
7412,ス,アトム,,656,,-
7413,プ,創健社,1283,2599,103%割高,-
7414,プ,小野建,3453,1394,60%割安,+
7416,ス,はるやまHD,,704,,-
7417,ス,南陽,2491,1441,42%割安,+
7419,プ,ノジマ,1764,1219,30%割安,+
7421,プ,カッパ・クリエイト,257,1518,492%割高,-
7422,ス,東邦レマック,357,439,23%割高,-
7425,ス,初穂商事,4720,2640,44%割安,+
7427,ス,エコートレーディング,1908,873,54%割安,+
7433,プ,伯東,3550,4165,17%割高,-
7434,ス,オータケ,3602,1877,48%割安,+
7435,ス,ナ・デックス,2089,1069,49%割安,+
7236,プ,ティラド,15776,11110,30%割安,+
7238,プ,曙ブレーキ工業,182,126,31%割安,+
7239,プ,タチエス,2714,2056,24%割安,+
7240,プ,NOK,4136,2801.5,32%割安,+
7241,ス,フタバ産業,1745,975,44%割安,+
7242,プ,カヤバ,8081,4490,44%割安,+
7244,プ,市光工業,851,507,40%割安,+
7245,プ,大同メタル工業,1801,874,51%割安,+
7246,プ,プレス工業,1874,789,58%割安,+
7247,ス,ミクニ,1042,357,66%割安,+
7254,ス,ユニバンス,1768,798,55%割安,+
7259,プ,アイシン,3681,2488.5,32%割安,+
7261,プ,マツダ,2755,1011.5,63%割安,+
7264,ス,スムロコーポレーション,2999,1268,58%割安,+
7265,ス,エイケン工業,5583,3665,34%割安,+
7266,ス,今仙電機製作所,2008,835,58%割安,+
7267,プ,ホンダ,2444,1266.5,48%割安,+
7269,プ,スズキ,3514,1748.5,50%割安,+
7270,プ,SUBARU,4116,2349.5,43%割安,+
7271,ス,永安,1104,1100,7%割安,+
7272,プ,ヤマハ発動機,1260,1106,12%割安,+
7273,ス,イクヨ,285,535,129%割高,-
7276,プ,小糸製作所,2886,2543,12%割安,+
7277,ス,TBK,798,359,55%割安,+
7278,プ,エクセディ,5747,6110,6%割高,-
7279,プ,ハイレックスコーポレーション,3140,2630,16%割安,+
7280,プ,ミツバ,2692,1140,58%割安,+
7282,プ,豊田合成,6814,4627,32%割安,+
7283,プ,愛三工業,4656,1739,63%割安,+
7284,ス,昭和産業,779,1299,67%割高,-
7287,ス,日本精機,3574,2548,29%割安,+
7291,ス,日本プラスト,1672,418,75%割安,+
7292,ス,村上開明堂,8821,6790,23%割安,+
7294,プ,ヨロズ,2161,850,61%割安,+
7296,プ,エフ・シー・シー,5263,3340,37%割安,+
