銘柄コード,市場区分,銘柄名,理論株価,株価,乖離率,評価
5603,ス,虹技,4584,1322,71%割安,+
5609,ス,日本鋳造,2063,889,57%割安,+
5612,ス,日本鋳鉄管,2139,1621,24%割安,+
5616,ス,雨風太陽,154,773,441%割高,-
5618,グ,ナイル,,322,,-
5619,グ,マーソ,492,872,90%割高,-
5621,プ,ヒューマンテクノロジーズ,1547,1484,4%割安,+
5631,プ,日本製鋼所,4444,9489,45%割高,-
5632,プ,三菱製鋼,3284,1795,45%割安,+
5644,ス,メタルアート,11506,5060,56%割安,+
5658,ス,日亜鋼業,971,367,62%割安,+
5659,プ,日本精線,1425,1410,1%割安,+
5660,ス,神鋼鋼線工業,3404,1530,55%割安,+
5695,ス,パウダーテック,3951,2550,35%割安,+
5697,ス,サンユウ,1763,656,63%割安,+
5698,ス,エンビプロ-HD,681,1090,60%割高,-
5699,ス,イボキン,2550,2070,19%割安,+
5702,プ,大紀アルミニウム工業所,1670,1465,11%割安,+
5703,プ,日本軽金属HD,3995,2853,29%割安,+
5704,グ,JMC,315,387,23%割高,-
5706,プ,三井金属,14190,42350,198%割高,-
5344,プ,MARUWA,46845,73480,57%割高,-
5351,プ,品川リフラ,3201,1910,40%割安,+
5355,ス,日本ルツボ,972,652,33%割安,+
5356,ス,美濃窯業,1857,1171,37%割安,+
5357,プ,ヨータイ,1945,1669,14%割安,+
5363,ス,TYK,1141,601,47%割安,+
5367,ス,ニッカトー,1064,870,18%割安,+
5368,ス,日本インシュレーション,1834,1164,37%割安,+
5380,ス,新東,,1424,,-
5381,ス,マイボックス,662,1183,79%割高,-
5384,プ,フジミインコーポレーテッド,3191,3215,1%割高,-
5388,ス,クニミネ工業,1739,1231,29%割安,+
5391,ス,エーアンドエーマテリアル,4263,1364,68%割安,+
5393,プ,ニチアス,2445,3097,27%割高,-
5401,プ,日本製鉄,1197,572.3,52%割安,+
5406,プ,神戸製鋼所,3265,1926.5,41%割安,+
5408,プ,中山製鋼所,1776,592,67%割安,+
5410,プ,合同製鉄,9189,2845,69%割安,+
5411,プ,JFEHd,3778,1715,55%割安,+
5423,プ,東京製鉄,1871,1697,9%割安,+
5440,プ,共英製鋼,4909,1899,61%割安,+
5444,プ,大和工業,13412,11955,11%割安,+
5445,プ,東京鉄鋼,2656,1796,32%割安,+
5446,ス,北越メタル,615,1250,103%割高,-
5449,ス,大阪製鉄,4383,2459,44%割安,+
5451,プ,ヨドコウ,1422,1340,6%割安,+
5458,ス,高砂鉄工,1724,1049,39%割安,+
5461,プ,中部鋼鈑,2445,2255,8%割安,+
5463,ス,丸一鋼管,1791,1452,23%割安,+
5464,ス,モリ工業,1490,937,37%割安,+
5471,プ,大同特殊鋼,2624,1823,31%割安,+
5480,プ,日本冶金工業,6859,4520,34%割安,+
5482,プ,愛知製鋼,3666,2866,22%割安,+
5484,ス,東北特殊鋼,3074,2284,26%割安,+
5491,ス,日本金属,579,900,55%割高,-
5527,グ,property technologies,708,680,2%割安,+
5532,グ,リアルゲイト,799,3550,360%割高,-
5533,ス,エリッツHD,3056,2010,33%割安,+
5541,プ,大平洋金属,1591,2522,58%割高,-
5542,ス,新報国マテリアル,1094,855,22%割安,+
5240,グ,monoAI technology,,148,,-
5242,グ,アイズ,540,1028,101%割高,-
5243,グ,note,,2424,,-
5244,グ,jig.jp,297,254,15%割安,+
5244,グ,ELEMENTS,,657,,-
5247,グ,BTM,376,676,89%割高,-
5248,グ,テクノロジーズ,947,465,51%割安,+
5250,ス,GMOプライム・ストラテジー,430,1055,158%割高,-
5252,グ,日本ナレッジ,334,796,138%割高,-
5253,グ,カバー,3019,1372,54%割安,+
5254,グ,Arent,910,4215,363%割高,-
5255,グ,モンスターラボ,13,99,659%割高,-
5256,グ,Fusic,848,2487,201%割高,-
5257,ス,ノバシステム,5221,2500,52%割安,+
5258,グ,トランザクション・メディア・ネットワークス,232,308,36%割高,-
